genre,rating,watched
"Biography, Drama, Family",8.1,0
"Adventure, Drama, History",7.1,0
"Action, Crime, Thriller",6.0,0
"Action, Drama, Thriller",7.0,0
"Comedy, Drama, Romance",8.1,0
"Action, Adventure, Sci-Fi",6.6,0
"Comedy, Fantasy",5.7,0
"Drama, Horror, Thriller",4.7,0
"Comedy, Drama, Family",5.8,0
"Crime, Drama",7.2,0
Drama,8.0,0
"Documentary, Crime, History",6.0,0
"Animation, Action, Adventure",7.2,0
"Comedy, Drama, Romance",7.0,0
Romance,5.2,0
"Comedy, Family, Music",5.2,0
"Drama, Horror, Thriller",6.5,0
"Horror, Thriller",6.5,0
"Action, Comedy, Crime",5.5,0
"Action, Adventure, Comedy",5.6,0
"Comedy, Drama, Fantasy",7.5,0
"Drama, Romance",8.3,0
"Drama, Music, Romance",6.2,0
"Comedy, Musical",6.5,0
"Biography, Crime, Drama",7.0,0
"Drama, Horror, Mystery",7.1,0
"Comedy, Reality-TV",8.6,0
"Animation, Comedy, Drama",8.7,0
"Comedy, Drama, Romance",8.6,0
"Horror, Mystery, Thriller",4.8,0
"Drama, Fantasy, Horror",7.3,0
Comedy,6.4,0
"Animation, Adventure, Comedy",6.3,0
"Comedy, Romance",6.3,0
"Comedy, Romance",8.4,0
"Action, Thriller",6.0,0
"Animation, Short, Action",5.4,0
"Comedy, Romance",6.5,0
"Action, Comedy, Crime",8.1,0
"Comedy, Sport",6.0,0
"Drama, Family, Fantasy",7.2,0
"Adventure, Comedy, Music",5.9,0
"Documentary, Music",8.6,0
"Comedy, Crime, Drama",7.1,0
"Action, Comedy, Drama",6.7,0
"Action, Thriller",6.7,0
"Crime, Drama, Fantasy",6.6,0
"Biography, Comedy, Drama",6.8,0
"Action, Crime, Drama",8.5,0
"Action, Crime, Mystery",6.2,0
"Drama, Fantasy, Horror",8.2,0
"Action, Adventure, Drama",6.8,0
"Comedy, Drama",6.9,0
Comedy,7.1,0
"Drama, Fantasy, Horror",7.0,0
"Biography, Drama, Thriller",7.4,0
"Drama, Romance",5.3,0
"Comedy, Drama",9.1,0
"Action, Thriller",6.0,0
"Action, Drama, Mystery",5.0,0
"Action, Crime, Thriller",6.3,0
"Game-Show, Reality-TV, Romance",4.7,0
"Crime, Drama",,0
"Action, Crime, Drama",7.8,0
Drama,7.1,0
"Crime, Drama, Mystery",7.2,0
"Adventure, Drama, Fantasy",4.2,0
"Crime, Drama, Mystery",7.8,0
Thriller,5.8,0
"Crime, Drama, Mystery",7.6,0
"Comedy, Drama",8.2,0
